"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-19","10.6",",,W","-3.0","H,,S","-1.0",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-20","12.1",",,W",,,"3.3",",,W","-2.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-21","5.3",",,W",,,"2.8",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-22","8.3",",,W",,,"2.8",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-23","5.4",",,W",,,"1.7",",,W","-2.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-24","6.0",",,W","1.2","H,,S","2.2",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-25","4.5",",,W","-0.1","H,,S","2.8",",,W","-6.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-26","8.1",",,W","0.6","H,,S","2.8",",,W","-7.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-27","8.5",",,W",,,"2.8",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-28","11.2",",,W",,,"2.8",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-29","8.8",",,W",,,"0.0",",,W","-6.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-30","7.4",",,W",,,"2.8",",,W","-4.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-01-31","12.5",",,W",,,"3.9",",,W","2.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-01","6.5",",,W",,,"4.4",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-02","5.4",",,W",,,"3.3",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-03","7.2",",,W",,,"2.8",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-04","9.5",",,W",,,"3.3",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-05","7.6",",,W",,,"2.8",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-06",,,,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-07","4.6",",,W",,,"3.3",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-08","4.8",",,W",,,"3.3",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-09","9.1",",,W",,,"2.2",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-10","12.8",",,W",,,"1.7",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-11","12.1",",,W",,,"1.7",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-12","6.4",",,W",,,"5.0",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-13","12.0",",,W",,,"3.9",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-14","10.6",",,W",,,"3.9",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-15","8.2",",,W",,,"3.9",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-16","5.7",",,W",,,"3.9",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-17","5.3",",,W",,,"2.2",",,W","0.0",",I,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-18","5.2",",,W",,,"-1.6",",I,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-19","13.2",",,W",,,"0.6",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-20","7.9",",,W",,,"0.0",",,W","-3.2",",I,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-21","6.1",",,W",,,"-6.6",",I,W","-8.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-22","8.3",",,W",,,"3.3",",,W","-8.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-23","7.2",",,W",,,"3.3",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-24","6.5",",,W",,,"2.8",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-25","7.7",",,W",,,"3.9",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-26","3.3",",,W",,,"2.8",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-27","7.2",",,W",,,"1.1",",,W","-6.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-02-28","11.4",",,W",,,"3.3",",,W","-6.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-01","13.8",",,W",,,"2.8",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-02","14.8",",,W",,,"0.6",",,W","-8.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-03","8.0",",,W",,,"0.6",",,W","-7.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-04","14.6",",,W",,,"3.3",",,W","-4.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-05","10.8",",,W",,,"2.2",",,W","-4.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-06","10.5",",,W",,,"3.3",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-07","13.1",",,W",,,"3.9",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-08","9.0",",,W",,,"1.7",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-09","6.5",",,W",,,"2.2",",,W","-5.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-10","7.1",",,W",,,"-2.1",",,W","-6.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-11","6.4",",,W",,,"2.2",",,W","-8.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-12","10.9",",,W",,,"2.8",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-13","11.2",",,W",,,"2.8",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-14","6.9",",,W",,,"2.2",",,W","-2.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-15","6.4",",,W",,,"0.6",",,W","-3.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-16","5.4",",,W",,,"0.6",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-17","3.8",",,W",,,"1.1",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-18","11.6",",,W",,,"1.1",",,W","-2.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-19","7.2",",,W",,,"4.4",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-20","4.0",",,W",,,"3.9",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-21","7.1",",,W",,,"-0.5",",,W","-4.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-22","6.4",",,W",,,"-3.8",",,W","-7.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-23","11.2",",,W",,,"3.3",",,W","-10.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-24","3.5",",,W",,,"2.8",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-25","4.4",",,W",,,"4.4",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-26","10.7",",,W",,,"2.2",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-27","8.7",",,W",,,"3.3",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-28","15.0",",,W",,,"4.4",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-29","11.3",",,W",,,"2.8",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-30","9.7",",,W",,,"-0.5",",,W","-3.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-03-31","5.2",",,W",,,"3.3",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-01","6.0",",,W",,,"3.3",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-02","10.2",",,W",,,"4.4",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-03","10.9",",,W",,,"3.9",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-04","4.4",",,W",,,"1.1",",,W","-1.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-05","9.7",",,W",,,"2.8",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-06","3.8",",,W",,,"3.9",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-07","6.5",",,W",,,"2.8",",,W","2.2",",I,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-08","9.1",",,W",,,"-2.1",",I,W","-3.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-09","12.0",",,W",,,"3.3",",,W","-2.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-10","9.3",",,W",,,"3.9",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-11","9.1",",,W",,,"3.3",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-12","6.5",",,W",,,"1.1",",,W","-3.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-13","4.7",",,W",,,"1.1",",,W","-4.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-14","7.5",",,W",,,"0.6",",,W","-2.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-15","3.5",",,W",,,"2.2",",,W","-2.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-16","2.8",",,W",,,"2.8",",,W","-8.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-17","4.6",",,W",,,"3.3",",,W","-0.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-18","4.5",",,W",,,"4.4",",,W","-4.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-19","10.5",",,W",,,"5.6",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-20","9.9",",,W",,,"6.1",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-21","9.9",",,W",,,"6.7",",,W","1.7",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-22","6.9",",,W",,,"6.1",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-23","5.2",",,W",,,"6.7",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-24","7.8",",,W",,,"3.3",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-25","9.5",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-26","12.5",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-27","10.3",",,W",,,"5.6",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-28","7.1",",,W",,,"3.3",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-29","6.4",",,W",,,"3.9",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-04-30","4.4",",,W",,,"1.7",",,W","-1.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-01","4.6",",,W",,,"3.3",",,W","-2.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-02","8.0",",,W",,,"3.9",",,W","-3.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-03","4.8",",,W",,,"4.4",",,W","-5.5",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-04","3.4",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-05","6.9",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-06","10.7",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-07","8.4",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-08","7.5",",,W",,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-09",,,,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-10",,,,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-11","4.3",",,W",,,"6.7",",,W","2.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-12","7.1",",,W",,,"6.7",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-13","10.8",",,W",,,"4.4",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-14","5.8",",,W",,,"7.2",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-15","5.9",",,W",,,"7.8",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-16","4.5",",,W",,,"5.0",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-17","2.6",",,W",,,"4.4",",,W","2.2",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-18","5.0",",,W",,,"6.1",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-19","10.1",",,W","2.1","H,,S","5.0",",,W","0.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-20","11.3",",,W","2.6","H,,S","5.6",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-21","5.0",",,W","3.4","H,,S","6.7",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-22","7.8",",,W","4.4","H,,S","5.0",",,W","3.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-23","11.1",",,W","4.7","H,,S","5.6",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-24","7.2",",,W","5.2","H,,S","7.8",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-25",,,"5.2","H,,S",,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-27",,,,,,,,
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-28","7.6",",,W","5.9","H,,S","11.1",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-29","10.9",",,W","7.3","H,,S","9.4",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-30","7.4",",,W","5.1","H,,S","6.7",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-05-31","3.1",",,W","4.0","H,,S","9.4",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-01","4.5",",,W","6.0","H,,S","9.4",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-02","5.5",",,W","4.2","H,,S","5.6",",,W","2.8",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-03","5.5",",,W","3.1","H,,S","5.6",",,W","1.1",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-04","3.6",",,W","2.3","H,,S","6.7",",,W","0.6",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-05","7.6",",,W","5.0","H,,S","7.2",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-06","10.5",",,W","5.9","H,,S","9.4",",,W","5.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-07","6.1",",,W","5.7","H,,S","6.1",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-08","8.5",",,W","5.0","H,,S","8.3",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-09","8.1",",,W","5.7","H,,S","8.3",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-10","6.0",",,W","6.3","H,,S","8.9",",,W","5.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-11","7.5",",,W","6.2","H,,S","8.3",",,W","5.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-12","4.7",",,W","5.6","H,,S","8.3",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-13","5.2",",,W","5.6","H,,S","6.7",",,W","3.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-14","6.5",",,W","5.7","H,,S","6.7",",,W","3.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-15","7.0",",,W","4.8","H,,S","6.1",",,W","3.3",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-16","2.6",",,W","6.0","H,,S","10.0",",,W","3.9",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-17","3.6",",,W","7.0","H,,S","8.3",",,W","5.0",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-18","4.4",",,W","7.8","H,,S","13.9",",,W","4.4",",,W"
"USW00025713","SAINT PAUL ISLAND AIRPORT, AK US","57.1552","-170.2222","10.7","2021-06-19","3.1",",,W","7.2","H,,S","13.3",",,W","4.4",",,W"
